,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theme: Economy & Prices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subject: Labour, Employment, Wages and Productivity",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topic: Employment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Employed Residents Aged 15 Years And Over By Industry And Occupation, (June), Annual",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 13/02/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: MINISTRY OF MANPOWER & SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thousand
Data Series,2022 ,2021 ,2020 ,2019 ,2018 ,2017 ,2016 ,2015 ,2014 ,2013 ,2012 ,2011 ,2010 ,2009 ,2008 ,2007 ,2006 ,2005 ,2004 ,2003 ,2002 ,2001 ,2000 ,1999 ,1998 ,1997 ,1996 ,1995 ,1994 ,1993 ,1992 ,1991 ,1990 
Associate Professionals & Technicians,485.7,465.8,458.2,467.9,465,436.2,438.1,408.3,391.5,359.5,340.4,337.1,303.4,309.8,307.8,289.5,na,255.6,259.8,240.8,234.4,238.2,234.5,276.3,263.8,259.2,257.3,230.8,217.3,195.3,189,161.9,154.9
  Manufacturing,54.9,52,50.5,56,59.6,53.9,56.5,52.8,54,56.1,58.7,58.8,53.4,57.3,61.5,60.5,na,51.2,54.7,50.1,49.2,52.3,54.4,57.8,57.1,59.7,58.2,50,49.6,48.2,43.4,33.7,35.4
  Construction,19.5,20.2,20.3,18.7,20,17,16.7,16.2,12.6,12.6,11.7,10.8,11.1,12.6,12.6,11.2,na,9.2,7.8,8.4,7.9,8.9,8.9,9.8,11.3,9.5,9.1,8.1,7.1,6.1,5.7,4.4,4.1
  Services,405.9,387.3,381.6,386.8,378.9,359.3,359.8,332.5,318.1,284.1,263.3,261,230.3,233.9,226.6,211.7,na,191.9,191.3,177,172.1,171.9,167.8,205.4,191.9,186.1,187.4,169.8,158.3,139,138,122.2,112.3
    Wholesale & Retail Trade,68,60.8,68.7,69.8,62.5,62.3,63.6,58.2,44.3,32.2,30.2,28.9,21.4,29.1,29,29.1,na,31.1,25.5,21.1,19.2,21.9,25,22.7,23.3,24.7,29.2,22.7,25.3,22.6,21.7,16.4,19.7
    Transportation & Storage,37.4,32,32.6,28.7,30.9,27.7,29.3,28,23.6,25.9,22.9,24.7,24.7,21,20.8,21,na,13.9,18.7,18.3,20.6,19.6,13.9,29.3,26.6,29.8,27.1,20.9,23,20.1,19.2,18,13.1
    Accommodation & Food Services,13.4,11.7,13.3,10.5,13.6,9.7,10.4,10.8,13,9.7,10.3,11.3,9.2,4.3,3.6,3.4,na,4.7,2.8,3,2,2.9,4.9,3.4,2.8,2.7,2.7,2.8,2.5,2.7,1.8,1.8,2.4
    Information & Communications,23.8,23,23,21.4,19.7,20.6,18.8,17.6,16.7,15.9,12.6,13,13.9,13.3,14.3,12.4,na,10.1,11.7,11.2,10.4,12.9,8.2,na,na,na,na,10.9,na,na,na,na,6.2
    Financial & Insurance Services,51.3,49.6,47.1,46.3,46.1,44.1,46.5,37.5,40.1,30,29.6,31,23.3,35.1,32.2,27.4,na,22.1,27.4,25.3,24.5,24.8,24.4,38.8,37,30.7,35.9,27.9,27.2,22.3,22.1,20.1,17.8
    Real Estate Services,28.5,26.4,25.6,26.3,27.1,26.7,23.3,25.9,26,27.1,25.8,27.4,20.6,21.7,20.6,18.2,na,16.3,14.9,16.1,15.9,16.9,16.9,na,na,na,na,15.1,na,na,na,na,7.6
    Professional Services,46.5,43.4,41.8,46.3,43.4,38.1,40,36.8,33.4,30.5,26.1,24.2,21.2,19.9,19.8,18.5,na,20.9,12.5,10.4,10.5,9.1,15.6,na,na,na,na,17.7,na,na,na,na,10.7
    Administrative & Support Services,12.8,13.5,17.2,16.3,12.9,13.2,15.5,13.1,10.8,10,11.1,8.8,8.6,8,8.6,7.2,na,6.8,8.4,6.8,6.7,6.8,5.5,na,na,na,na,3.4,na,na,na,na,2.3
    Public Administration & Education Services,66.3,70.2,63.8,71.6,72.7,69.3,67.4,64.6,70.9,67.8,62.7,62.2,58.4,54.5,51.9,49,na,37.1,48.8,47.2,45,39.3,30.2,38.1,31.5,32.9,28.7,23.1,25.3,25.2,26.6,24.9,13.9
    Health & Social Services,36.4,34.3,27.3,29.3,28.8,26.6,24.5,20.5,21.8,17.5,18.2,15.4,14.6,14.6,13.6,13.8,na,18.6,12.9,11,9.9,11.2,14.5,19.1,18.6,19.6,19.3,16.1,19,17.9,17.6,17.4,14.2
